n,b,noise_ratio,confidence,lmsr_mean,cfmm_mean,lmsr_std,cfmm_std
2,50,0.3,0.05,-3.9586298897398486,-0.27037113781727484,7.314124730232211,8.85600957570406
2,50,0.3,0.2,-1.2946817451698183,-1.5398872419641436,7.641121314475815,7.899683762636633
2,50,0.3,0.5,-0.4345945847681751,-2.339065683568393,6.904662525023496,5.8067109533653545
2,50,0.3,0.8,-0.15341040241963821,-0.6121602561066465,2.8364880651662854,2.7878315375861806
2,50,0.6,0.05,0.36246661553073983,-0.9339917934710473,8.701615938666892,8.487403079577039
2,50,0.6,0.2,-1.2679490396050943,-4.930829499957892,7.572791178690226,7.34006319852124
2,50,0.6,0.5,-0.5183535108261759,0.6597795182718004,5.265229454859011,6.645431789905762
2,50,0.6,0.8,0.15685371551717783,-0.288075502636338,3.5120544295071943,3.030883400400441
2,50,0.9,0.05,-0.13487899682734691,0.16934873721471053,7.791192591917589,8.409946151354076
2,50,0.9,0.2,-0.7249562833701669,0.02842398421625726,6.042911996310972,7.550254977431279
2,50,0.9,0.5,0.26067509316817994,0.8659930868977708,4.636907228659806,4.788320372352284
2,50,0.9,0.8,-0.9558713125229261,-1.0020828772509915,2.88190601670318,3.029338862619344
2,200,0.3,0.05,-9.914505447194996,-4.043807272351522,31.337030502533846,33.55187680358224
2,200,0.3,0.2,-2.785650268855131,-3.092647425664372,30.121021429323047,28.861701925938323
2,200,0.3,0.5,-2.40283021366294,2.9717420920981468,14.287172857016655,16.48525750684951
2,200,0.3,0.8,-1.8327438489261325,-0.30996532833092444,8.819201917352327,7.2752644672241775
2,200,0.6,0.05,-3.9503079584011687,0.17212851162538267,32.74998705531329,33.47723185904417
2,200,0.6,0.2,-11.677444858612185,-3.0968465455663714,21.593905550369378,24.141552015099585
2,200,0.6,0.5,-2.098859493004949,2.076712906075738,11.090593868967588,12.59000908480558
2,200,0.6,0.8,-2.4284873373046425,2.08507654150783,6.425716311317754,7.749644272615029
2,200,0.9,0.05,-6.688894939337438,2.9711053621908423,18.878135646557517,21.170305670722712
2,200,0.9,0.2,0.6754093748121989,1.9334677583321038,9.891022881422714,10.77947123155533
2,200,0.9,0.5,-1.9061811716766295,-2.451389981819497,6.032142184590978,5.580367769572951
2,200,0.9,0.8,-0.7550411078261519,0.0921062165856253,5.072541628296341,4.449464136605371
2,800,0.3,0.05,-21.68055102100685,-8.985293767158494,107.92384228554099,109.20737879642664
2,800,0.3,0.2,-16.861326251800755,0.13650728516794525,58.42658933983028,57.24786535245127
2,800,0.3,0.5,4.875721526206803,11.2313006561004,30.137073496736274,22.882010069432877
2,800,0.3,0.8,-4.751217256740853,-4.350623105030123,15.964860800965875,18.416265117396822
2,800,0.6,0.05,10.858135259776374,-50.15426898693992,82.06771985969657,59.68085008992882
2,800,0.6,0.2,0.7340858982353226,0.47521177863683,39.95594904306993,38.31369610468539
2,800,0.6,0.5,-3.717092425123545,-5.085116722909106,18.17119051406907,17.682720503859652
2,800,0.6,0.8,-4.986923676460113,-2.763514703282416,11.272683076055815,11.428348754369477
2,800,0.9,0.05,-9.847714896330682,-7.612442048627302,21.92295114708013,23.62400841181097
2,800,0.9,0.2,1.8799568358485061,-2.7338784143228794,11.078654583627399,11.158199677689488
2,800,0.9,0.5,-0.31629733803061844,-0.013276659553080113,5.318401163610234,5.622503294372393
2,800,0.9,0.8,-0.10723180208636882,0.8399616541449149,4.183013905274705,5.182251663498243
4,50,0.3,0.05,-2.4275435807071437,-5.876191416144691,14.752913178094905,12.402621840196323
